sample-id	Treatment	Height	dry_weight_whole_root	Dry_above_biomass_g	DSE_identity	AMF_identity	SampleID	Block	UniqueTreatment
PEBAC001	G1	91.5	1.012849785	4.559	DSE1	AMF1	PEBAC001	1	G1.1
PEBAC002	G1	96.3	0.918377778	5.159	DSE1	AMF1	PEBAC002	2	G1.1
PEBAC003	G1	87.3	0.901046512	4.389	DSE1	AMF1	PEBAC003	3	G1.1
PEBAC004	G1	95	1.113356725	4.904	DSE1	AMF1	PEBAC004	4	G1.1
PEBAC005	G1	94.4	1.053468571	4.904	DSE1	AMF1	PEBAC005	5	G1.1
PEBAC006	G1	94.2	1.428313433	5.405	DSE1	AMF1	PEBAC006	6	G1.1
PEBAC007	G1	91	1.235451737	4.459	DSE1	AMF1	PEBAC007	7	G1.1
PEBAC008	G1	84.5	1.087995495	5.312	DSE1	AMF1	PEBAC008	8	G1.1
PEBAC009	G1	88.3	1.418117647	5.845	DSE1	AMF1	PEBAC009	9	G1.1
PEBAC010	G1	92.5	1.041313433	5.263	DSE1	AMF1	PEBAC010	10	G1.1
PEBAC011	G1	84.5	1.659492958	4.827	DSE1	AMF2	PEBAC011	1	G1.2
PEBAC012	G1	99.1	1.121422619	5.526	DSE1	AMF2	PEBAC012	2	G1.2
PEBAC013	G1	98.7	1.24586	5.938	DSE1	AMF2	PEBAC013	3	G1.2
PEBAC014	G1	93.6	1.148100418	5.701	DSE1	AMF2	PEBAC014	4	G1.2
PEBAC015	G1	89.8	1.312147826	4.926	DSE1	AMF2	PEBAC015	5	G1.2
PEBAC016	G1	88.9	1.19645283	5.157	DSE1	AMF2	PEBAC016	6	G1.2
PEBAC017	G1	94.6	1.407235294	5.68	DSE1	AMF2	PEBAC017	7	G1.2
PEBAC018	G1	94.8	1.284166667	5.453	DSE1	AMF2	PEBAC018	8	G1.2
PEBAC019	G1	84.5	1.222811881	4.79	DSE1	AMF2	PEBAC019	9	G1.2
PEBAC020	G1	97.5	1.079072727	6.111	DSE1	AMF2	PEBAC020	10	G1.2
PEBAC021	G1	93.5	1.028625	4.805	DSE2	AMF1	PEBAC021	1	G1.3
PEBAC022	G1	88.5	1.024127072	3.991	DSE2	AMF1	PEBAC022	2	G1.3
PEBAC023	G1	87.5	1.511388158	5.316	DSE2	AMF1	PEBAC023	3	G1.3
PEBAC024	G1	102.1	1.191578431	5.298	DSE2	AMF1	PEBAC024	4	G1.3
PEBAC025	G1	100	1.176713287	6.066	DSE2	AMF1	PEBAC025	5	G1.3
PEBAC026	G1	95.5	1.320791096	5.779	DSE2	AMF1	PEBAC026	6	G1.3
PEBAC027	G1	93	1.438296482	5.175	DSE2	AMF1	PEBAC027	7	G1.3
PEBAC028	G1	81.5	1.809174312	4.226	DSE2	AMF1	PEBAC028	8	G1.3
PEBAC029	G1	92	1.217489362	5.504	DSE2	AMF1	PEBAC029	9	G1.3
PEBAC030	G1	92.8	1.64630839	5.76	DSE2	AMF1	PEBAC030	10	G1.3
PEBAC031	G1	89.4	1.398263844	4.966	DSE2	AMF2	PEBAC031	1	G1.4
PEBAC032	G1	95.5	1.412441948	5.223	DSE2	AMF2	PEBAC032	2	G1.4
PEBAC033	G1	101.9	1.161378151	5.598	DSE2	AMF2	PEBAC033	3	G1.4
PEBAC034	G1	94.5	1.276203065	4.948	DSE2	AMF2	PEBAC034	4	G1.4
PEBAC035	G1	90.1	1.34842562	5.765	DSE2	AMF2	PEBAC035	5	G1.4
PEBAC036	G1	97.7	1.263474026	5.472	DSE2	AMF2	PEBAC036	6	G1.4
PEBAC037	G1	93.5	1.599604651	5.032	DSE2	AMF2	PEBAC037	7	G1.4
PEBAC038	G1	90.5	1.205641732	5.461	DSE2	AMF2	PEBAC038	8	G1.4
PEBAC039	G1	89.5	1.625208122	6.16	DSE2	AMF2	PEBAC039	9	G1.4
PEBAC040	G1	92.4	1.918095808	5.384	DSE2	AMF2	PEBAC040	10	G1.4
PEBAC041	G2	91.1	1.258527675	4.828	DSE1	AMF1	PEBAC041	1	G2.1
PEBAC042	G2	100.8	1.042363636	5.512	DSE1	AMF1	PEBAC042	2	G2.1
PEBAC043	G2	97.8	1.1734375	5.262	DSE1	AMF1	PEBAC043	3	G2.1
PEBAC044	G2	100.7	1.529027027	5.818	DSE1	AMF1	PEBAC044	4	G2.1
PEBAC045	G2	95.9	1.181827338	5.335	DSE1	AMF1	PEBAC045	5	G2.1
PEBAC046	G2	100	1.107438596	5.804	DSE1	AMF1	PEBAC046	6	G2.1
PEBAC047	G2	91	0.958723077	5.076	DSE1	AMF1	PEBAC047	7	G2.1
PEBAC048	G2	86.5	1.453090909	4.784	DSE1	AMF1	PEBAC048	8	G2.1
PEBAC049	G2	99	1.207120301	6.05	DSE1	AMF1	PEBAC049	9	G2.1
PEBAC050	G2	83	1.613927126	4.808	DSE1	AMF1	PEBAC050	10	G2.1
PEBAC051	G2	142	1.29500885	4.1	DSE1	AMF2	PEBAC051	1	G2.2
PEBAC052	G2	95.5	1.448790909	5.594	DSE1	AMF2	PEBAC052	2	G2.2
PEBAC053	G2	94.1	1.303079848	5.782	DSE1	AMF2	PEBAC053	3	G2.2
PEBAC054	G2	152	2.006839506	5.471	DSE1	AMF2	PEBAC054	4	G2.2
PEBAC055	G2	92.5	1.216823077	5.408	DSE1	AMF2	PEBAC055	5	G2.2
PEBAC056	G2	136.9	1.759419306	6.049	DSE1	AMF2	PEBAC056	6	G2.2
PEBAC057	G2	94.8	1.128571429	5.829	DSE1	AMF2	PEBAC057	7	G2.2
PEBAC058	G2	105.5	1.192171254	6.718	DSE1	AMF2	PEBAC058	8	G2.2
PEBAC059	G2	90.5	1.372564103	5.961	DSE1	AMF2	PEBAC059	9	G2.2
PEBAC060	G2	96.8	1.22442268	6.553	DSE1	AMF2	PEBAC060	10	G2.2
PEBAC061	G2	94.5	1.345325843	5.546	DSE2	AMF1	PEBAC061	1	G2.3
PEBAC062	G2	93.2	1.336278169	5.474	DSE2	AMF1	PEBAC062	2	G2.3
PEBAC063	G2	93.4	1.236	5.15	DSE2	AMF1	PEBAC063	3	G2.3
PEBAC064	G2	95.4	1.073	5.325	DSE2	AMF1	PEBAC064	4	G2.3
PEBAC065	G2	98.6	1.259289157	5.836	DSE2	AMF1	PEBAC065	5	G2.3
PEBAC066	G2	89.7	1.2126787	5.009	DSE2	AMF1	PEBAC066	6	G2.3
PEBAC067	G2	95	1.369220339	5.724	DSE2	AMF1	PEBAC067	7	G2.3
PEBAC068	G2	91	1.247178218	4.179	DSE2	AMF1	PEBAC068	8	G2.3
PEBAC069	G2	92.4	1.135685619	5.018	DSE2	AMF1	PEBAC069	9	G2.3
PEBAC070	G2	95	1.12109589	4.981	DSE2	AMF1	PEBAC070	10	G2.3
PEBAC071	G2	92.3	1.289327731	5	DSE2	AMF2	PEBAC071	1	G2.4
PEBAC072	G2	97	1.429442029	6.196	DSE2	AMF2	PEBAC072	2	G2.4
PEBAC073	G2	98.5	1.1904	5.755	DSE2	AMF2	PEBAC073	3	G2.4
PEBAC074	G2	96.5	1.296951613	6.409	DSE2	AMF2	PEBAC074	4	G2.4
PEBAC075	G2	99.5	1.127339623	5.971	DSE2	AMF2	PEBAC075	5	G2.4
